ANBIMA – Associação Brasileira das Entidades dos Mercados Financeiro e de Capitais. 
IHFA Carteira Teórica 
Validade da Carteira Teórica: 01/10/2020 a 31/12/2020
Data Início;Data Final;Fundo;CNPJ;Quantidade Teórica;Cota dos Fundos em 30/09/2020;Patrimônio Líquido em 30/09/2020 (R$ milhões);Participação Relativa (%)
01/10/2020;31/12/2020;FUNDO DE INVEST EM COTAS DE FUNDOS DE INVEST CAIXA ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;34.660.333/0001-69;0,0154;1.018,248775;685,55;0,42
01/10/2020;31/12/2020;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA ESTRATÉGICO MULTIMERCADO LONGO PRAZO;03.737.200/0001-10;2,0976;3,323202;305,46;0,19
01/10/2020;31/12/2020;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO GARDE DUMAS;18.961.501/0001-08;5,9912;2,114099;555,03;0,34
01/10/2020;31/12/2020;FUNDO DE INVESTIMENTO MULTIMERCADO SCULPTOR CRÉDITO PRIVADO;14.655.180/0001-54;0,0035;1.177,166456;180,42;0,11
01/10/2020;31/12/2020;GAP ABSOLUTO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;01.823.373/0001-25;0,4698;22,597939;465,25;0,28
01/10/2020;31/12/2020;GAP MULTIPORTFOLIO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;03.804.917/0001-37;0,0003;17.241,379669;189,35;0,12
01/10/2020;31/12/2020;GARDE DARTAGNAN ADVISORY FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;26.179.685/0001-79;6,8005;1,291714;384,93;0,23
01/10/2020;31/12/2020;GARDE DARTAGNAN FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;19.212.817/0001-51;9,8982;2,126002;922,14;0,56
01/10/2020;31/12/2020;GAUSS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;24.592.505/0001-50;4,2977;1,527571;287,68;0,17
01/10/2020;31/12/2020;GAUSS II FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;20.725.810/0001-12;1,9217;2,051272;172,74;0,11
01/10/2020;31/12/2020;GÁVEA MACRO PLUS CGI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;32.745.426/0001-60;0,0774;115,756323;392,83;0,24
01/10/2020;31/12/2020;GIANT SIGMA FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;29.826.089/0001-21;6,9352;1,274202;387,23;0,24
01/10/2020;31/12/2020;GIANT ZARATHUSTRA FUNDO DE INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO MULTIMERCADO;11.052.478/0001-81;3,8143;3,749263;626,66;0,38
